2025-04-15 10:05:05 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:05 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:06 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:06 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:06 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:06 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:07 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:07 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:07 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:07 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:08 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:08 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:08 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:09 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:09 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:09 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:09 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:10 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:10 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:10 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:10 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:11 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:11 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:11 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:11 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:12 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:12 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:12 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:13 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:13 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:13 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:13 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:13 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:14 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:14 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:14 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:14 [12764] INFO  : Stop Iperf3 Client
